Id,Film,Year,Award,Nomination
907,The Circus,1928,0,0
1241,Spawn of the North,1938,0,0
961,Fantasia,1940,0,0
1072,Kukan,1941,0,0
1268,Target for Tonight,1941,0,0
1029,The House I Live In,1945,0,0
864,Bill and Coo,1948,0,0
1117,Monsieur Vincent,1948,0,0
1323,The Walls of Malapaga,1950,0,0
1088,The Little Kidnappers,1954,0,0
1202,Samurai I: Musashi Miyamoto,1955,0,0
1173,Pollyanna,1960,0,0
1052,The Jazz Singer,1928,0,1
1228,Snow White and the Seven Dwarfs,1937,0,1
1221,Shoeshine,1947,0,1
860,Bicycle Thieves,1949,0,1
1189,Rashomon,1951,0,1
973,Forbidden Games,1952,0,1
817,7 Faces of Dr. Lao,1964,0,1
978,The Garden of Allah,1936,0,2
1264,Sweethearts,1938,0,2
1045,In Which We Serve,1942,0,2
778,Planet of the Apes,1968,0,2
668,Logan's Run,1976,0,2
667,King Kong,1976,0,2
627,The Black Stallion,1979,0,2
521,RoboCop,1987,0,2
477,Total Recall,1990,0,2
681,The Hindenburg,1975,0,3
642,Superman,1978,0,3
407,Toy Story,1995,0,3
1019,Henry V,1946,0,4
577,Return of the Jedi,1983,0,4
565,The River,1984,0,4
89,Flesh and Sand,2017,1,0
1310,Two Arabian Knights,1928,1,1
948,The Dove,1928,1,1
1327,The Way of All Flesh,1928,1,1
1314,Underworld,1928,1,1
1270,Tempest,1928,1,1
883,The Bridge of San Luis Rey,1929,1,1
915,Coquette,1929,1,1
1335,White Shadows in the South Seas,1929,1,1
1065,King of Jazz,1930,1,1
1343,With Byrd at the South Pole,1930,1,1
1267,Tabu,1931,1,1
1113,Min and Bill,1931,1,1
928,The Dawn Patrol,1931,1,1
1303,Transatlantic,1932,1,1
1223,The Sin of Madelon Claudet,1932,1,1
1351,Wrestling Swordfish,1932,1,1
969,Flowers and Trees,1932,1,1
1129,The Music Box,1932,1,1
999,Grand Hotel,1932,1,1
1230,So This Is Harris!,1933,1,1
1157,One Way Passage,1933,1,1
1283,Three Little Pigs,1933,1,1
1071,Krakatoa,1933,1,1
1120,Morning Glory,1933,1,1
1300,The Tortoise and the Hare,1934,1,1
909,City of Wax,1934,1,1
1103,Manhattan Melodrama,1934,1,1
1108,The Merry Widow,1934,1,1
956,Eskimo,1934,1,1
923,La Cucaracha,1934,1,1
970,Folies Bergere,1935,1,1
1033,How to Sleep,1935,1,1
1341,Wings Over Everest,1935,1,1
1284,Three Orphan Kittens,1935,1,1
1205,The Scoundrel,1935,1,1
926,Dangerous,1935,1,1
916,The Country Cousin,1936,1,1
876,Bored of Education,1936,1,1
1183,The Public Pays,1936,1,1
987,Give Me Liberty,1936,1,1
1152,The Old Mill,1937,1,1
1163,Penny Wisdom,1937,1,1
1301,Torture Money,1937,1,1
1181,The Private Life of the Gannets,1937,1,1
933,Declaration of Independence,1938,1,1
966,Ferdinand the Bull,1938,1,1
1062,Kentucky,1938,1,1
861,The Big Broadcast of 1938,1938,1,1
1273,That Mothers Might Live,1938,1,1
889,Busy Little Bears,1939,1,1
1313,The Ugly Duckling,1939,1,1
1238,Sons of Liberty,1939,1,1
1332,When Tomorrow Comes,1939,1,1
1112,The Milky Way,1940,1,1
1005,The Great McGinty,1940,1,1
1269,"Teddy, the Rough Rider",1940,1,1
1185,Quicker'n a Wink,1940,1,1
1177,Pride and Prejudice,1940,1,1
1290,Tin Pan Alley,1940,1,1
1075,Lady Be Good,1941,1,1
1081,Lend a Paw,1941,1,1
1149,Of Pups and Puzzles,1941,1,1
1101,Main Street on the March!,1941,1,1
905,Churchill's Island,1941,1,1
1004,The Great Lie,1941,1,1
1039,I Wanted Wings,1941,1,1
935,Der Fuehrer's Face,1942,1,1
850,The Battle of Midway,1942,1,1
859,Beyond the Line of Duty,1942,1,1
1057,Johnny Eager,1942,1,1
1069,Kokoda Front Line!,1942,1,1
1242,Speaking of Animals and Their Families,1942,1,1
1176,Prelude to War,1942,1,1
1121,Moscow Strikes Back,1942,1,1
936,Desert Victory,1943,1,1
1015,Heavenly Music,1943,1,1
835,Amphibious Fighters,1943,1,1
1355,The Yankee Doodle Mouse,1943,1,1
1179,Princess O'Rourke,1943,1,1
1279,This Land Is Mine,1943,1,1
920,Crash Dive,1943,1,1
932,December 7th,1943,1,1
1337,Who's Who in Animal Land,1944,1,1
1344,With the Marines at Tarawa,1944,1,1
1124,Mouse Trouble,1944,1,1
1040,I Won't Play,1944,1,1
967,The Fighting Lady,1944,1,1
873,Blood on the Sun,1945,1,1
1030,The House on 92nd Street,1945,1,1
1104,Marie-Louise,1945,1,1
1249,Star in the Night,1945,1,1
1187,Quiet Please!,1945,1,1
1247,Stairway to Light,1945,1,1
1306,The True Glory,1945,1,1
976,Frenchman's Creek,1945,1,1
1024,Hitler Lives,1945,1,1
897,The Cat Concerto,1946,1,1
1316,Vacation from Marriage,1946,1,1
1211,Seeds of Destiny,1946,1,1
878,A Boy and His Dog,1946,1,1
959,Facing Your Danger,1946,1,1
1217,The Seventh Veil,1946,1,1
871,Blithe Spirit,1946,1,1
912,Climbing the Matterhorn,1947,1,1
937,Design for Death,1947,1,1
996,"Goodbye, Miss Turlock",1947,1,1
846,The Bachelor and the Bobby-Soxer,1947,1,1
1308,Tweetie Pie,1947,1,1
968,First Steps,1947,1,1
1266,Symphony of a City,1948,1,1
1089,The Little Orphan,1948,1,1
1302,Toward Independence,1948,1,1
953,Easter Parade,1948,1,1
1159,The Paleface,1948,1,1
1210,The Secret Land,1948,1,1
1207,Seal Island,1948,1,1
1063,Key Largo,1948,1,1
930,Daybreak in Udi,1949,1,1
1110,Mighty Joe Young,1949,1,1
1229,So Much for So Little,1949,1,1
842,Aquatic House Party,1949,1,1
1220,She Wore a Yellow Ribbon,1949,1,1
1153,On the Town,1949,1,1
1253,The Stratton Story,1949,1,1
1140,Neptune's Daughter,1949,1,1
1317,Van Gogh,1949,1,1
971,For Scent-imental Reasons,1949,1,1
902,A Chance to Live,1949,1,1
1291,The Titan: Story of Michelangelo,1950,1,1
1000,Grandad of Races,1950,1,1
924,Cyrano de Bergerac,1950,1,1
1042,In Beaver Valley,1950,1,1
893,"Captain Carey, U.S.A.",1950,1,1
983,Gerald McBoing-Boing,1950,1,1
1070,Kon-Tiki,1950,1,1
1160,Panic in the Streets,1950,1,1
1338,Why Korea?,1950,1,1
1349,World of Kids,1951,1,1
1137,Nature's Half Acre,1951,1,1
856,Benjy,1951,1,1
1216,Seven Days to Noon,1951,1,1
1311,The Two Mouseketeers,1951,1,1
1326,Water Birds,1952,1,1
1085,Light in the Window,1952,1,1
1172,Plymouth Adventure,1952,1,1
1206,The Sea Around Us,1952,1,1
1055,Johann Mouse,1952,1,1
1298,"Toot, Whistle, Plunk and Boom",1953,1,1
1158,Overture to The Merry Wives of Windsor,1953,1,1
1093,The Living Desert,1953,1,1
852,Bear Country,1953,1,1
825,The Alaskan Eskimo,1953,1,1
980,Gate of Hell,1954,1,1
1333,When Magoo Flew,1954,1,1
1318,The Vanishing Prairie,1954,1,1
1287,Thursday's Children,1954,1,1
1280,This Mechanical Age,1954,1,1
1289,A Time Out of War,1954,1,1
1261,Survival City,1955,1,1
1243,Speedy Gonzales,1955,1,1
1107,Men Against the Arctic,1955,1,1
1017,Helen Keller in Her Story,1955,1,1
1193,The Red Balloon,1956,1,1
